Freq,Mag,Phase,Coherence
691.40625,-3.1655202,15.288086,1.390305e-05
703.125,1.7883272,-20.679792,2.7029244e-05
714.84375,-0.4420931,-26.686047,6.402556e-06
726.5625,-0.8687454,-74.41322,5.923708e-06
738.28125,-4.0043354,-25.27074,8.23953e-06
750.0,1.6466341,-62.039967,1.0752555e-05
761.71875,-6.306374,-76.35493,6.5127574e-06
773.4375,-2.6669192,-48.592346,8.932475e-06
785.15625,-0.8432483,-50.77487,1.4586666e-05
796.875,3.3317232,-89.19728,7.2411563e-06
808.59375,2.8585865,-104.24116,9.194012e-06
820.3125,0.16605008,-143.2155,7.996292e-06
832.03125,2.1655366,-108.17435,1.2105524e-05
843.75,-2.7027223,-85.153885,9.208518e-06
855.46875,-0.015742362,-94.30312,1.1378054e-05
867.1875,-1.8011367,-93.64636,1.3369223e-05
878.90625,-0.09645027,-114.79967,1.0759744e-05
890.625,-2.7989602,-135.63477,1.7148705e-05
902.34375,-4.381958,-116.6035,9.155262e-06
914.0625,-2.2986443,-102.585724,1.02873855e-05
925.78125,-3.7656643,-107.22622,7.663521e-06
937.5,1.3849154,-82.23905,5.459795e-06
949.21875,-0.9931014,-91.45508,8.57843e-06
960.9375,-2.6211398,-117.31955,6.908877e-06
972.65625,0.75287986,-86.83692,5.515164e-06
984.375,1.3839347,-85.308655,6.7486203e-06
996.09375,0.4860884,-67.10784,5.5834776e-06
1007.8125,-2.2882218,-92.34558,4.6443274e-06
1019.53125,-0.76871324,-129.32838,1.0035927e-05
1031.25,-3.4206543,-102.6152,2.7408416e-05
1042.96875,-5.5446014,-137.98058,2.7341142e-05
1054.6875,-5.384158,-96.72074,6.5997106e-06
1066.40625,-1.115116,-59.15716,6.6007688e-06
1078.125,4.2022634,-29.058231,7.451178e-06
1089.84375,0.8501409,-51.81186,3.7145714e-06
1101.5625,-0.21748666,-31.630325,3.6856275e-06
1113.28125,-0.8181193,-62.461304,3.841855e-06
1125.0,0.8464478,-53.88367,2.6398925e-06
1136.71875,2.3758423,-66.10122,2.6855937e-06
1148.4375,-0.8959701,-88.256744,2.4965138e-06
1160.15625,-2.2665625,-120.75302,4.6478553e-06
1171.875,-4.067338,-97.07599,3.256567e-06
1183.59375,-0.48353332,-97.71484,6.629819e-06
1195.3125,0.73756355,-95.40816,5.6366453e-06
1207.03125,-1.0793756,-97.16519,7.726461e-06
1218.75,1.040347,-102.49052,8.0495e-06
1230.46875,-2.6947672,-80.39759,8.660738e-06
1242.1875,0.1379621,-81.56497,4.987907e-06
1253.90625,1.2403803,-124.999344,5.061329e-06
1265.625,-4.1160007,-109.10214,2.5046359e-06
1277.34375,-1.4968597,-100.43415,5.0548265e-06
1289.0625,-0.27572393,-40.17117,2.8558622e-06
1300.78125,0.16109121,-71.31085,4.9470086e-06
1312.5,-3.4266236,-88.72857,5.7061884e-06
1324.21875,0.55805147,-104.92107,2.9807682e-06
1335.9375,1.0151626,-67.58712,4.0825125e-06
1347.65625,-0.877394,-27.980858,2.5137151e-06
1359.375,-1.8045454,-90.67822,5.7541306e-06
1371.09375,-0.81992316,-132.50577,4.567776e-06
1382.8125,-1.8557302,-131.16101,3.9830097e-06
1394.53125,-0.25306916,-145.03682,5.585812e-06
1406.25,0.96706355,-110.44615,2.1427174e-06
1417.96875,-1.9535257,-120.06316,5.3183444e-06
1429.6875,3.0180874,-182.89761,6.5843915e-06
1441.40625,3.0690253,-156.88869,4.091066e-06
1453.125,2.4730167,-160.55084,1.2850094e-05
1464.84375,-0.010300368,-124.87059,3.2238183e-06
